question_id	latency_1_normal	latency_2_single_call	latency_3_embeddings_only	latency_4_compact	latency_5_fact_checking_ask_llm	latency_6_fact_checking_align_score
0	0.9328415393829346	1.0195670127868652	0.2456502914428711	0.5314781665802002	0.9042415618896484	0.8875305652618408
1	2.6267447471618652	1.5795924663543701	0.02965688705444336	2.0394022464752197	5.432175397872925	5.045794725418091
2	3.7439491748809814	0.8961589336395264	0.029755592346191406	0.3524138927459717	3.0710692405700684	3.016197443008423
3	2.364046096801758	1.6139631271362305	0.7721948623657227	1.4410333633422852	2.6510345935821533	2.1091604232788086
4	1.1092591285705566	1.2834370136260986	1.319911241531372	1.6151888370513916	1.0934984683990479	1.119164228439331
5	5.900348663330078	1.799255609512329	1.2336244583129883	2.116638660430908	5.034718036651611	4.894575119018555
6	1.8601045608520508	3.2464842796325684	1.0307643413543701	1.138911485671997	5.7774717807769775	2.471064805984497
7	3.074633836746216	2.075326442718506	1.3515701293945312	1.4959132671356201	4.6560492515563965	2.8110849857330322
8	3.9799344539642334	2.369713306427002	1.141232967376709	2.9280929565429688	6.120698928833008	4.073201894760132
9	2.4813449382781982	1.5348503589630127	2.140789270401001	2.8612477779388428	3.8201334476470947	3.7221908569335938
10	3.502318859100342	1.88372802734375	2.831564426422119	3.5491180419921875	4.611635208129883	4.242678642272949
